Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Apr 1 2022,7:00p,Toronto Raptors,102,Orlando Magic,89,Box Score,,17566,Amway Center,
Fri Apr 1 2022,7:00p,Dallas Mavericks,103,Washington Wizards,135,Box Score,,17745,Capital One Arena,
Fri Apr 1 2022,7:30p,Indiana Pacers,123,Boston Celtics,128,Box Score,,19156,TD Garden,
Fri Apr 1 2022,8:00p,Sacramento Kings,122,Houston Rockets,117,Box Score,,14857,Toyota Center,
Fri Apr 1 2022,8:00p,Phoenix Suns,114,Memphis Grizzlies,122,Box Score,,17794,FedEx Forum,
Fri Apr 1 2022,8:00p,Los Angeles Clippers,153,Milwaukee Bucks,119,Box Score,,18023,Fiserv Forum,
Fri Apr 1 2022,8:00p,Detroit Pistons,110,Oklahoma City Thunder,101,Box Score,,16961,Paycom Center,
Fri Apr 1 2022,8:30p,Portland Trail Blazers,111,San Antonio Spurs,130,Box Score,,17512,AT&T Center,
Fri Apr 1 2022,9:00p,Minnesota Timberwolves,136,Denver Nuggets,130,Box Score,,19612,Ball Arena,
Fri Apr 1 2022,10:30p,New Orleans Pelicans,114,Los Angeles Lakers,111,Box Score,,18997,Crypto.com Arena,
Sat Apr 2 2022,12:30p,Charlotte Hornets,114,Philadelphia 76ers,144,Box Score,,21509,Wells Fargo Center,
Sat Apr 2 2022,1:00p,Cleveland Cavaliers,119,New York Knicks,101,Box Score,,19812,Madison Square Garden (IV),
Sat Apr 2 2022,7:30p,Brooklyn Nets,115,Atlanta Hawks,122,Box Score,,18126,State Farm Arena,
Sat Apr 2 2022,8:00p,Miami Heat,127,Chicago Bulls,109,Box Score,,21697,United Center,
Sat Apr 2 2022,8:30p,Utah Jazz,107,Golden State Warriors,111,Box Score,,18064,Chase Center,
Sun Apr 3 2022,1:00p,Washington Wizards,102,Boston Celtics,144,Box Score,,19156,TD Garden,
Sun Apr 3 2022,1:00p,Dallas Mavericks,118,Milwaukee Bucks,112,Box Score,,17902,Fiserv Forum,
Sun Apr 3 2022,3:30p,Denver Nuggets,129,Los Angeles Lakers,118,Box Score,,18997,Crypto.com Arena,
Sun Apr 3 2022,5:00p,Detroit Pistons,121,Indiana Pacers,117,Box Score,,17407,Gainbridge Fieldhouse,
Sun Apr 3 2022,6:00p,Philadelphia 76ers,112,Cleveland Cavaliers,108,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sun Apr 3 2022,6:00p,New York Knicks,118,Orlando Magic,88,Box Score,,15747,Amway Center,
