Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Mar 1 2022,7:00p,Detroit Pistons,113,Washington Wizards,116,Box Score,,12122,Capital One Arena,
Tue Mar 1 2022,7:30p,Atlanta Hawks,98,Boston Celtics,107,Box Score,,19156,TD Garden,
Tue Mar 1 2022,7:30p,Brooklyn Nets,108,Toronto Raptors,109,Box Score,,18903,Scotiabank Arena,
Tue Mar 1 2022,8:00p,Los Angeles Clippers,113,Houston Rockets,100,Box Score,,12949,Toyota Center,
Tue Mar 1 2022,8:00p,Golden State Warriors,114,Minnesota Timberwolves,129,Box Score,,17136,Target Center,
Tue Mar 1 2022,10:00p,Dallas Mavericks,109,Los Angeles Lakers,104,Box Score,,17857,Crypto.com Arena,
Wed Mar 2 2022,7:00p,Charlotte Hornets,119,Cleveland Cavaliers,98,Box Score,,19019,Rocket Mortgage Fieldhouse,
Wed Mar 2 2022,7:00p,Indiana Pacers,122,Orlando Magic,114,Box Score,OT,11221,Amway Center,
Wed Mar 2 2022,7:30p,New York Knicks,108,Philadelphia 76ers,123,Box Score,,21333,Wells Fargo Center,
Wed Mar 2 2022,8:00p,Utah Jazz,132,Houston Rockets,127,Box Score,OT,13583,Toyota Center,
Wed Mar 2 2022,8:00p,Miami Heat,119,Milwaukee Bucks,120,Box Score,,17341,Fiserv Forum,
Wed Mar 2 2022,8:00p,Sacramento Kings,95,New Orleans Pelicans,125,Box Score,,15490,Smoothie King Center,
Wed Mar 2 2022,9:00p,Oklahoma City Thunder,119,Denver Nuggets,107,Box Score,,15167,Ball Arena,
Wed Mar 2 2022,10:00p,Portland Trail Blazers,90,Phoenix Suns,120,Box Score,,17071,Phoenix Suns Arena,
Thu Mar 3 2022,7:00p,Chicago Bulls,124,Atlanta Hawks,130,Box Score,,17522,State Farm Arena,
Thu Mar 3 2022,7:30p,Memphis Grizzlies,107,Boston Celtics,120,Box Score,,19156,TD Garden,
Thu Mar 3 2022,7:30p,Miami Heat,113,Brooklyn Nets,107,Box Score,,17732,Barclays Center,
Thu Mar 3 2022,7:30p,Detroit Pistons,108,Toronto Raptors,106,Box Score,,19548,Scotiabank Arena,
Thu Mar 3 2022,8:30p,Golden State Warriors,113,Dallas Mavericks,122,Box Score,,20229,American Airlines Center,
Thu Mar 3 2022,8:30p,Sacramento Kings,115,San Antonio Spurs,112,Box Score,,13049,AT&T Center,
Thu Mar 3 2022,10:00p,Los Angeles Lakers,111,Los Angeles Clippers,132,Box Score,,19068,Crypto.com Arena,
Fri Mar 4 2022,7:00p,Indiana Pacers,106,Detroit Pistons,111,Box Score,,17244,Little Caesars Arena,
